headline,section,locations,word_count,snippet,source,subjects,url,desk,date,type,id,abstract
Ukrainian Opposition Buoyed by Wave of Western Support,World,[],677,"The opposing sides of Ukraine's political crisis put their cases to world powers on Saturday, with the opposition buoyed by pledges of support from the West while Ukraine's foreign minister accused Europe of forcing Kiev into a strategic choice.",Reuters,[],http://www.nytimes.com/reuters/2014/02/01/world/europe/01reuters-ukraine-usa-europe.html,,2014-02-01,News,52eccf0938f0d84314fee764,
New Orleans Mayor Appears Headed for Re-election Victory,U.S.,[],524,"New Orleans Mayor Mitch Landrieu appeared headed for victory in his re-election bid on Saturday, with enough votes to avoid a runoff, the Times-Picayune newspaper and other local media projected.",Reuters,[],http://www.nytimes.com/reuters/2014/02/01/us/politics/01reuters-usa-politics-neworleans.html,,2014-02-01,News,52ed00f938f0d84314fee797,
Iran's Top Clergy Back Rouhani's Nuclear Approach,World,[],452,"President Hassan Rouhani has secured the backing of senior conservative clerics against hardliners opposed to a nuclear deal reached with major powers, Iran's official news agency IRNA said on Saturday.",Reuters,[],http://www.nytimes.com/reuters/2014/02/01/world/middleeast/01reuters-iran-nuclear-clergy.html,,2014-02-01,News,52ed26f138f0d84314fee7cb,
Greece's Golden Dawn Vows to Run in May Vote Despite Crackdown,World,[],447,"Greece's ultra-right Golden Dawn will find a way to contest local and European elections in May despite a crackdown on the party, a senior lawmaker told a defiant crowd of a few thousand supporters in central Athens.",Reuters,[],http://www.nytimes.com/reuters/2014/02/01/world/europe/01reuters-greece-goldendawn.html,,2014-02-01,News,52ed6df938f0d8366ee4e643,
New Orleans Mayor Mitch Landrieu Wins Re-election,U.S.,[],651,New Orleans Mayor Mitch Landrieu won re-election to a second term on Saturday bolstered by a public perception the post-Hurricane Katrina recovery has created jobs and improved the local economy.,Reuters,[],http://www.nytimes.com/reuters/2014/02/02/us/politics/02reuters-usa-politics-neworleans.html,,2014-02-02,News,52edde7338f0d8366ee4e6e3,
Costa Rica Ruling Party on Course for Tough Presidential Run-Off,World,[],457,"Costa Rica's centrist ruling party candidate Johnny Araya took a slight early lead in Sunday's presidential election and was on course to face a tough run-off after a strong showing by two leftist parties, partial results showed.",Reuters,[],http://www.nytimes.com/reuters/2014/02/02/world/americas/02reuters-costarica-elections.html,,2014-02-02,News,52ede6e738f0d8366ee4e6ee,
"El Salvador Ex-Rebel Has Early Vote Lead, Run-Off Possible",World,[],816,"A former left-wing guerrilla leader took a strong early lead in El Salvador's presidential election on Sunday, early results showed, but he could still face a run-off against a conservative rival who wants to deploy the army to fight powerful street...",Reuters,[],http://www.nytimes.com/reuters/2014/02/02/world/02reuters-elsalvador-election.html,,2014-02-02,News,52ede79938f0d8366ee4e6ef,
Ukraine Frees Tortured Activist as President Returns to Work,World,[],1029,"The Ukrainian government bowed to intense Western pressure on Sunday to let an opposition activist fly abroad for treatment after his abduction, torture and then attempted arrest by police outraged critics of President Viktor Yanukovich.",Reuters,[],http://www.nytimes.com/reuters/2014/02/02/world/europe/02reuters-ukraine.html,,2014-02-02,News,52edff7f38f0d8366ee4e6fc,
Egypt Says Stimulus Package Almost Ready as It Seeks to Reassure Investors,Business Day,[],555,"Egypt will announce details of its second stimulus package since Islamist President Mohamed Mursi was ousted in July within days, its finance minister said on Tuesday, aiming to boost tepid growth and reassure investors.",Reuters,[],http://www.nytimes.com/reuters/2014/02/02/business/02reuters-egypt-stimulus.html,,2014-02-02,News,52ee030438f0d8366ee4e6ff,
Indian State Bars Foreign Supermarkets in Latest Blow for Chains,Business Day,[],620,"The Indian state of Rajasthan has barred foreign direct investment in supermarkets, an ominous sign for global retailers who covet India's vast but fragmented retail sector if the country's main opposition Bharatiya Janata Party (BJP) comes to power...",Reuters,[],http://www.nytimes.com/reuters/2014/02/02/business/02reuters-india-retail.html,,2014-02-02,News,52ee181d38f0d8366ee4e739,
"Factbox: Corruption, Poverty Charge Costa Rica Election",World,[],610,"The presidential hopeful of Costa Rica's ruling party is seen as the frontrunner in Sunday's election, but analysts say campaign gaffes and scandals dogging President Laura Chinchilla's government will likely force him into a second round run-off...",Reuters,[],http://www.nytimes.com/reuters/2014/02/02/world/americas/02reuters-costarica-elections-factbox.html,,2014-02-02,News,52ee4fa738f0d8366ee4e766,
German Industry Says Energy Reform Plans Threaten Jobs,Business Day,[],536,"German industry has warned that the government's new energy plans jeopardize jobs in Europe's biggest economy, in particular a proposal to make firms that generate their own electricity pay charges to support renewable sources.",Reuters,[],http://www.nytimes.com/reuters/2014/02/02/business/02reuters-germany-energy.html,,2014-02-02,News,52ee6c7e38f0d8366ee4e785,
White House: Obama Awaits More Keystone Reviews; Timing Unclear,U.S.,[],371,"U.S. President Barack Obama still wants to hear from other federal agencies before deciding whether to accept the State Department's finding that the Keystone XL pipeline would have no major impact on climate change, his top aide said on Sunday.",Reuters,[],http://www.nytimes.com/reuters/2014/02/02/us/politics/02reuters-usa-keystone.html,,2014-02-02,News,52ee8cd538f0d82003e252e2,
"After Rocky January, Markets Eye Data and Central Banks",Business Day,[],756,This week will go a long way to determining whether the uncertainty hanging over the world economy and markets fades after a rocky January or lasts further into the year.,Reuters,[],http://www.nytimes.com/reuters/2014/02/02/business/02reuters-global-economy-weekahead.html,,2014-02-02,News,52ee981438f0d82003e252ea,
Analysis: Australia's Home-Brewed Inflation a Hangover for Central Bank,Business Day,[],822,The laudable desire of Australians to be well educated and healthy is proving an expensive one as escalating costs add to inflationary pressures even as the broader economy slows.,Reuters,[],http://www.nytimes.com/reuters/2014/02/02/business/02reuters-australia-economy-analysis.html,,2014-02-02,News,52ee9e6638f0d82003e252f6,
"China's Unwanted Babies Once Mostly Girls, Now Mostly Sick, Disabled",World,[],555,Fangfang was just a few days old when she was abandoned on a near freezing New Year's Day in north China.,Reuters,[],http://www.nytimes.com/reuters/2014/02/02/world/asia/02reuters-china-babies.html,,2014-02-02,News,52eeb38238f0d82003e25312,
Pakistan's Privatization Tsar Embarks on Quest to Revive Economy,Business Day,[],719,Mohammad Zubair was on a cruise dinner with Pakistani Prime Minister Nawaz Sharif in Thailand when he was offered the hardest job of his life: privatizing a huge chunk of the economy while fighting resistance from the opposition and trade unions.,Reuters,[],http://www.nytimes.com/reuters/2014/02/02/business/02reuters-pakistan-privatisation.html,,2014-02-02,News,52eeb4ed38f0d82003e25313,
"EU, U.S. Working on Ukraine Aid Plan: Ashton",World,[],326,"The European Union and the United States are working on a plan for significant short-term financial assistance for Ukraine, EU foreign policy chief Catherine Ashton was quoted on Sunday as saying.",Reuters,[],http://www.nytimes.com/reuters/2014/02/02/world/europe/02reuters-ukraine-ashton.html,,2014-02-02,News,52eeb59a38f0d82003e25317,
"Asia Stocks Slip, Euro Stuck Near 10-Week Lows",Business Day,[],638,"Asian shares were slowly giving ground on Monday as strains in emerging markets show little sign of abating, while growing pressure for another policy easing in Europe shoved the euro to 10-week lows.",Reuters,[],http://www.nytimes.com/reuters/2014/02/02/business/02reuters-markets-global.html,,2014-02-02,News,52eed48d38f0d82003e2534a,
China's January Services Growth Slows to Five-Year Low,Business Day,[],384,"Growth in China's services sector slowed to a five-year low in January, an official survey showed, another sign of stuttering momentum in the world's second-largest economy that could deepen investors' concerns about emerging markets around the...",Reuters,[],http://www.nytimes.com/reuters/2014/02/02/business/02reuters-china-economy-services-pmi.html,,2014-02-02,News,52ef104f38f0d82003e253b2,
"China's Unwanted Babies Once Mostly Girls, Now Mostly Sick, Disabled",World,[],568,Fangfang was just a few days old when she was abandoned on a near freezing New Year's Day in north China.,Reuters,[],http://www.nytimes.com/reuters/2014/02/03/world/asia/03reuters-china-babies.html,,2014-02-03,News,52ef235238f0d82003e2541b,
Asia Stocks Slip; Euro Dogged by ECB Talk,Business Day,[],646,"Asian shares lost more ground on Monday as strains in emerging markets show little sign of abating, while growing pressure for another policy easing in Europe shoved the euro to 10-week lows.",Reuters,[],http://www.nytimes.com/reuters/2014/02/03/business/03reuters-markets-global.html,,2014-02-03,News,52ef235338f0d82003e2541c,
"Leftist Costa Rica Outsider Leads Election, Run-Off Expected",World,[],535,"A left-leaning former diplomat edged ahead in Costa Rica's presidential election on Sunday, riding a wave of disgust at government corruption to get within reach of wresting power from the centrist government in an April run-off.",Reuters,[],http://www.nytimes.com/reuters/2014/02/03/world/americas/03reuters-costarica-elections.html,,2014-02-03,News,52ef256838f0d82003e25423,
Powerful Aftershock Hits Greek Island of Cephalonia,World,[],332,"A strong aftershock rattled the island of Cephalonia in western Greece early on Monday, just a week after a slightly more powerful earthquake hit the region, sending panicked residents fleeing from their homes and damaging buildings.",Reuters,[],http://www.nytimes.com/reuters/2014/02/03/world/europe/03reuters-quake-greece.html,,2014-02-03,News,52ef2c6f38f0d82003e25431,
